,NAME,AST,AST_rank
3,Bobby Wagner,55,1.5
4,Anthony Hitchens,55,1.5
0,Darius Leonard,50,3.5
1,Blake Martinez,50,3.5
6,Mason Foster,49,5.0
34,Joe Schobert,47,6.0
25,Eric Kendricks,45,7.0
10,Kiko Alonso,44,8.0
13,Avery Williamson,43,9.0
30,Benardrick McKinney,41,11.0
15,Tremaine Edmunds,41,11.0
21,Wesley Woodyard,41,11.0
11,Fred Warner,39,13.0
2,Leighton Vander Esch,38,15.0
7,Luke Kuechly,38,15.0
14,Jaylon Smith,38,15.0
8,Tahir Whitehead,37,18.0
22,Jessie Bates III,37,18.0
59,Reggie Ragland,37,18.0
24,Demario Davis,36,21.0
50,Kyle Van Noy,36,21.0
17,John Johnson,36,21.0
43,Jatavis Brown,35,25.0
48,Alec Ogletree,35,25.0
150,Lawrence Guy,35,25.0
127,Elandon Roberts,35,25.0
31,CJ Mosley,35,25.0
42,Jayon Brown,34,30.0
32,Anthony Walker,34,30.0
9,Cory Littleton,34,30.0
27,Zach Cunningham,34,30.0
78,Thomas Davis,34,30.0
12,Roquan Smith,33,34.5
51,Foyesade Oluokun,33,34.5
5,Telvin Smith,33,34.5
29,Raekwon McMillan,33,34.5
115,Marquel Lee,32,38.0
20,Todd Davis,32,38.0
26,Myles Jack,32,38.0
40,Zach Brown,31,41.5
33,Jamie Collins,31,41.5
64,Patrick Chung,31,41.5
98,Darron Lee,31,41.5
70,Minkah Fitzpatrick,30,45.5
44,Nigel Bradham,30,45.5
28,Derwin James,30,45.5
47,De'Vondre Campbell,30,45.5
148,Dalvin Tomlinson,29,50.5
68,Damon Harrison,29,50.5
52,Jordan Hicks,29,50.5
46,Adrian Phillips,29,50.5
23,Shawn Williams,29,50.5
19,Jamal Adams,29,50.5
92,Mike Adams,28,56.0
45,Landon Collins,28,56.0
74,Jabrill Peppers,28,56.0
55,Clayton Geathers,28,56.0
100,Jon Bostic,28,56.0
71,Haason Reddick,27,61.5
37,Jordan Poyer,27,61.5
112,AJ Klein,27,61.5
38,Jarrad Davis,27,61.5
53,Kevin Byard,27,61.5
77,Shaq Thompson,27,61.5
83,Matt Milano,26,66.5
57,Vonn Bell,26,66.5
141,Jonathan Allen,26,66.5
41,Justin Simmons,26,66.5
133,Jurrell Casey,25,71.0
87,Vince Williams,25,71.0
36,Budda Baker,25,71.0
35,Danny Trevathan,25,71.0
192,Ben Gedeon,25,71.0
18,Lavonte David,24,74.5
169,Trey Flowers,24,74.5
129,Josh Norman,23,78.5
89,Jahleel Addae,23,78.5
72,Jerome Baker,23,78.5
66,Devin McCourty,23,78.5
166,Linval Joseph,23,78.5
94,Josh Bynes,23,78.5
79,Terrell Edmunds,22,85.0
139,Duke Riley,22,85.0
121,Deforest Buckner,22,85.0
61,Jeff Heath,22,85.0
60,TJ McDonald,22,85.0
153,Ndamukong Suh,22,85.0
88,Logan Ryan,22,85.0
138,Jordan Evans,21,93.5
145,Patrick Onwuasor,21,93.5
185,Kenny Clark,21,93.5
159,Fabian Moreau,21,93.5
97,Tony Jefferson,21,93.5
130,Demarcus Lawrence,21,93.5
199,Preston Smith,21,93.5
73,Sean Davis,21,93.5
65,Nick Vigil,21,93.5
16,Antoine Bethea,21,93.5
187,Michael Brockers,20,102.5
173,Da'ron Payne,20,102.5
90,Brian Poole,20,102.5
82,Lamarcus Joyner,20,102.5
157,Josey Jewell,20,102.5
69,Damontae Kazee,20,102.5
113,Christian Jones,20,102.5
108,Eric Reid,20,102.5
75,Pierre Desir,19,110.0
39,Malcolm Jenkins,19,110.0
142,Adarius Taylor,19,110.0
194,Rashaan Evans,19,110.0
163,Kenny Vaccaro,19,110.0
54,Tyrann Mathieu,19,110.0
105,Danielle Hunter,19,110.0
198,Deion Jones,18,116.5
67,Kendall Fuller,18,116.5
156,Marcus Gilchrist,18,116.5
165,Hardy Nickerson Jr,18,116.5
56,Justin Reid,18,116.5
103,Lorenzo Alexander,18,116.5
104,Calais Campbell,17,124.5
164,Michael Thomas,17,124.5
160,Micah Hyde,17,124.5
183,Anthony Barr,17,124.5
182,Xavier Woods,17,124.5
144,Mark Barron,17,124.5
136,BJ Goodson,17,124.5
62,Harrison Smith,17,124.5
151,Aaron Donald,17,124.5
116,TJ Watt,17,124.5
95,Glover Quin,16,134.0
58,Kareem Jackson,16,134.0
154,Justin Evans,16,134.0
110,Jason McCourty,16,134.0
170,Tedric Thompson,16,134.0
86,Jordan Whitehead,16,134.0
96,Travis Carrie,16,134.0
146,Bradley Chubb,16,134.0
140,Alex Anzalone,16,134.0
178,Justin Coleman,15,139.0
143,Darian Stewart,14,144.0
186,Tramon Williams,14,144.0
180,Akiem Hicks,14,144.0
134,Desmond King,14,144.0
135,JJ Watt,14,144.0
107,Reshad Jones,14,144.0
106,Chidobe Awuzie,14,144.0
85,Kenny Moore,14,144.0
80,Quandre Diggs,14,144.0
93,Eli Apple,13,153.0
101,Adrian Amos,13,153.0
184,Josh Jones,13,153.0
168,Morris Claiborne,13,153.0
167,Mike Hilton,13,153.0
175,Corey Graham,13,153.0
119,Darqueze Dennard,13,153.0
118,Eric Weddle,13,153.0
131,Joe Haden,13,153.0
181,Eric Murray,12,164.0
91,Curtis Riley,12,164.0
172,Jonathan Jones,12,164.0
49,Ha'Sean Clinton-Dix,12,164.0
176,Dee Ford,12,164.0
197,Denzel Ward,12,164.0
137,Bobby McCain,12,164.0
84,Ron Parker,12,164.0
122,Tre Flowers,12,164.0
191,Bene' Benwikere,12,164.0
81,Brad McDougald,12,164.0
76,Tre Boston,12,164.0
111,James Bradberry,12,164.0
109,Janoris Jenkins,11,174.5
120,Byron Jones,11,174.5
123,Desmond Trufant,11,174.5
152,Marcus Williams,11,174.5
128,Elijah Lee,11,174.5
63,Damarious Randall,11,174.5
188,Tashaun Gipson,11,174.5
177,Gerald Hodges,11,174.5
190,Tre'Davious White,10,183.0
196,PJ Williams,10,183.0
147,Marshon Lattimore,10,183.0
99,Donte Jackson,10,183.0
171,Briean Boddy-Calhoun,10,183.0
117,Steven Nelson,10,183.0
158,Jason Pierre-Paul,10,183.0
155,Rasul Douglas,10,183.0
179,Kyle Fuller,10,183.0
195,Nevin Lawson,9,190.0
124,Prince Amukamara,9,190.0
189,Patrick Peterson,9,190.0
162,Johnathan Joseph,9,190.0
114,Malcolm Butler,9,190.0
132,Shaquill Griffin,8,193.5
193,AJ Bouye,8,193.5
149,BW Webb,7,195.5
102,Adoree` Jackson,7,195.5
161,Buster Skrine,6,197.0
125,Jaire Alexander,5,198.0
174,Rashaan Melvin,4,199.0
126,Jalen Ramsey,3,200.0
