,NAME,FF,FF_rank
135,JJ Watt,7,1.0
116,TJ Watt,6,2.5
176,Dee Ford,6,2.5
147,Marshon Lattimore,5,4.0
0,Darius Leonard,4,5.5
151,Aaron Donald,4,5.5
39,Malcolm Jenkins,3,11.5
19,Jamal Adams,3,11.5
14,Jaylon Smith,3,11.5
159,Fabian Moreau,3,11.5
130,Demarcus Lawrence,3,11.5
180,Akiem Hicks,3,11.5
129,Josh Norman,3,11.5
81,Brad McDougald,3,11.5
122,Tre Flowers,3,11.5
10,Kiko Alonso,3,11.5
49,Ha'Sean Clinton-Dix,2,28.0
34,Joe Schobert,2,28.0
68,Damon Harrison,2,28.0
145,Patrick Onwuasor,2,28.0
96,Travis Carrie,2,28.0
58,Kareem Jackson,2,28.0
42,Jayon Brown,2,28.0
140,Alex Anzalone,2,28.0
133,Jurrell Casey,2,28.0
124,Prince Amukamara,2,28.0
40,Zach Brown,2,28.0
29,Raekwon McMillan,2,28.0
146,Bradley Chubb,2,28.0
27,Zach Cunningham,2,28.0
196,PJ Williams,2,28.0
3,Bobby Wagner,2,28.0
7,Luke Kuechly,2,28.0
13,Avery Williamson,2,28.0
15,Tremaine Edmunds,2,28.0
169,Trey Flowers,2,28.0
75,Pierre Desir,2,28.0
24,Demario Davis,2,28.0
165,Hardy Nickerson Jr,2,28.0
192,Ben Gedeon,1,73.0
109,Janoris Jenkins,1,73.0
108,Eric Reid,1,73.0
106,Chidobe Awuzie,1,73.0
104,Calais Campbell,1,73.0
103,Lorenzo Alexander,1,73.0
198,Deion Jones,1,73.0
166,Linval Joseph,1,73.0
97,Tony Jefferson,1,73.0
161,Buster Skrine,1,73.0
93,Eli Apple,1,73.0
152,Marcus Williams,1,73.0
85,Kenny Moore,1,73.0
197,Denzel Ward,1,73.0
77,Shaq Thompson,1,73.0
110,Jason McCourty,1,73.0
111,James Bradberry,1,73.0
113,Christian Jones,1,73.0
191,Bene' Benwikere,1,73.0
144,Mark Barron,1,73.0
170,Tedric Thompson,1,73.0
142,Adarius Taylor,1,73.0
171,Briean Boddy-Calhoun,1,73.0
172,Jonathan Jones,1,73.0
173,Da'ron Payne,1,73.0
76,Tre Boston,1,73.0
134,Desmond King,1,73.0
149,BW Webb,1,73.0
178,Justin Coleman,1,73.0
183,Anthony Barr,1,73.0
158,Jason Pierre-Paul,1,73.0
150,Lawrence Guy,1,73.0
185,Kenny Clark,1,73.0
131,Joe Haden,1,73.0
128,Elijah Lee,1,73.0
99,Donte Jackson,1,73.0
73,Sean Davis,1,73.0
57,Vonn Bell,1,73.0
56,Justin Reid,1,73.0
55,Clayton Geathers,1,73.0
50,Kyle Van Noy,1,73.0
46,Adrian Phillips,1,73.0
45,Landon Collins,1,73.0
43,Jatavis Brown,1,73.0
38,Jarrad Davis,1,73.0
37,Jordan Poyer,1,73.0
36,Budda Baker,1,73.0
35,Danny Trevathan,1,73.0
61,Jeff Heath,1,73.0
33,Jamie Collins,1,73.0
26,Myles Jack,1,73.0
25,Eric Kendricks,1,73.0
23,Shawn Williams,1,73.0
18,Lavonte David,1,73.0
17,John Johnson,1,73.0
16,Antoine Bethea,1,73.0
11,Fred Warner,1,73.0
8,Tahir Whitehead,1,73.0
6,Mason Foster,1,73.0
5,Telvin Smith,1,73.0
4,Anthony Hitchens,1,73.0
30,Benardrick McKinney,1,73.0
62,Harrison Smith,1,73.0
199,Preston Smith,1,73.0
67,Kendall Fuller,1,73.0
71,Haason Reddick,1,73.0
66,Devin McCourty,1,73.0
82,Lamarcus Joyner,0,153.5
83,Matt Milano,0,153.5
20,Todd Davis,0,153.5
21,Wesley Woodyard,0,153.5
168,Morris Claiborne,0,153.5
167,Mike Hilton,0,153.5
22,Jessie Bates III,0,153.5
84,Ron Parker,0,153.5
164,Michael Thomas,0,153.5
63,Damarious Randall,0,153.5
162,Johnathan Joseph,0,153.5
69,Damontae Kazee,0,153.5
160,Micah Hyde,0,153.5
86,Jordan Whitehead,0,153.5
28,Derwin James,0,153.5
157,Josey Jewell,0,153.5
156,Marcus Gilchrist,0,153.5
155,Rasul Douglas,0,153.5
154,Justin Evans,0,153.5
163,Kenny Vaccaro,0,153.5
70,Minkah Fitzpatrick,0,153.5
174,Rashaan Melvin,0,153.5
175,Corey Graham,0,153.5
1,Blake Martinez,0,153.5
2,Leighton Vander Esch,0,153.5
195,Nevin Lawson,0,153.5
194,Rashaan Evans,0,153.5
193,AJ Bouye,0,153.5
72,Jerome Baker,0,153.5
190,Tre'Davious White,0,153.5
189,Patrick Peterson,0,153.5
188,Tashaun Gipson,0,153.5
187,Michael Brockers,0,153.5
186,Tramon Williams,0,153.5
78,Thomas Davis,0,153.5
184,Josh Jones,0,153.5
79,Terrell Edmunds,0,153.5
182,Xavier Woods,0,153.5
181,Eric Murray,0,153.5
9,Cory Littleton,0,153.5
179,Kyle Fuller,0,153.5
80,Quandre Diggs,0,153.5
177,Gerald Hodges,0,153.5
12,Roquan Smith,0,153.5
153,Ndamukong Suh,0,153.5
87,Vince Williams,0,153.5
31,CJ Mosley,0,153.5
32,Anthony Walker,0,153.5
123,Desmond Trufant,0,153.5
53,Kevin Byard,0,153.5
121,Deforest Buckner,0,153.5
120,Byron Jones,0,153.5
119,Darqueze Dennard,0,153.5
118,Eric Weddle,0,153.5
117,Steven Nelson,0,153.5
54,Tyrann Mathieu,0,153.5
115,Marquel Lee,0,153.5
52,Jordan Hicks,0,153.5
114,Malcolm Butler,0,153.5
112,AJ Klein,0,153.5
98,Darron Lee,0,153.5
64,Patrick Chung,0,153.5
59,Reggie Ragland,0,153.5
60,TJ McDonald,0,153.5
107,Reshad Jones,0,153.5
100,Jon Bostic,0,153.5
105,Danielle Hunter,0,153.5
101,Adrian Amos,0,153.5
65,Nick Vigil,0,153.5
102,Adoree` Jackson,0,153.5
125,Jaire Alexander,0,153.5
127,Elandon Roberts,0,153.5
88,Logan Ryan,0,153.5
148,Dalvin Tomlinson,0,153.5
89,Jahleel Addae,0,153.5
90,Brian Poole,0,153.5
91,Curtis Riley,0,153.5
92,Mike Adams,0,153.5
143,Darian Stewart,0,153.5
41,Justin Simmons,0,153.5
141,Jonathan Allen,0,153.5
126,Jalen Ramsey,0,153.5
139,Duke Riley,0,153.5
74,Jabrill Peppers,0,153.5
136,BJ Goodson,0,153.5
44,Nigel Bradham,0,153.5
94,Josh Bynes,0,153.5
95,Glover Quin,0,153.5
132,Shaquill Griffin,0,153.5
47,De'Vondre Campbell,0,153.5
48,Alec Ogletree,0,153.5
51,Foyesade Oluokun,0,153.5
138,Jordan Evans,0,153.5
137,Bobby McCain,0,153.5
