,NAME,FUMR,FUMR_rank
49,Vonn Bell,5,1.0
48,Devin White,4,4.0
29,Devin Bush,4,4.0
138,Deforest Buckner,4,4.0
8,Cory Littleton,4,4.0
189,TJ Watt,4,4.0
122,Marlon Humphrey,3,8.0
106,Minkah Fitzpatrick,3,8.0
33,Jordan Poyer,3,8.0
25,Nick Vigil,2,17.5
27,Antoine Bethea,2,17.5
40,Benardrick McKinney,2,17.5
178,Kyle Van Noy,2,17.5
44,Tavon Wilson,2,17.5
112,Bud Dupree,2,17.5
110,Harold Landry,2,17.5
53,Harrison Smith,2,17.5
167,Devon Kennard,2,17.5
73,Ha'Sean Clinton-Dix,2,17.5
136,Jarrad Davis,2,17.5
28,Eric Kendricks,2,17.5
5,Zach Cunningham,2,17.5
147,Lawrence Guy,2,17.5
11,Eric Reid,2,17.5
143,Montae Nicholson,2,17.5
150,Vernon Hargreaves,1,56.5
66,Malcolm Jenkins,1,56.5
164,Jaire Alexander,1,56.5
141,Rock Ya-Sin,1,56.5
63,Tre Flowers,1,56.5
158,Eddie Jackson,1,56.5
62,Mark Barron,1,56.5
198,Arik Armstead,1,56.5
108,AJ Klein,1,56.5
60,Jamie Collins,1,56.5
98,Dont'a Hightower,1,56.5
94,Markus Golden,1,56.5
151,Steven Nelson,1,56.5
68,James Burgess,1,56.5
70,Chidobe Awuzie,1,56.5
101,Ronnie Harrison,1,56.5
159,Anthony Harris,1,56.5
77,Xavier Woods,1,56.5
81,Haason Reddick,1,56.5
156,Donald Payne,1,56.5
160,Carlton Davis,1,56.5
155,Kenny Moore,1,56.5
103,Danielle Hunter,1,56.5
58,David Mayo,1,56.5
75,Justin Reid,1,56.5
74,Nathan Gerry,1,56.5
153,Nigel Bradham,1,56.5
86,Jamal Adams,1,56.5
104,Brad McDougald,1,56.5
71,Anthony Barr,1,56.5
102,Kareem Jackson,1,56.5
57,Cameron Heyward,1,56.5
0,Bobby Wagner,1,56.5
109,Jordan Whitehead,1,56.5
197,Justin Coleman,1,56.5
2,Jordan Hicks,1,56.5
3,Budda Baker,1,56.5
6,Jaylon Smith,1,56.5
9,Joe Schobert,1,56.5
194,Preston Brown,1,56.5
12,De'Vondre Campbell,1,56.5
124,Bobby Okereke,1,56.5
123,Mike Hilton,1,56.5
15,Lavonte David,1,56.5
187,Christian Wilkins,1,56.5
119,Joe Haden,1,56.5
168,Devin McCourty,1,56.5
26,Deion Jones,1,56.5
182,Tyeler Davison,1,56.5
23,Rashaan Evans,1,56.5
113,Jonathan Allen,1,56.5
170,Dante Fowler Jr,1,56.5
36,Jayon Brown,1,56.5
172,Daryl Worley,1,56.5
177,Calais Campbell,1,56.5
95,Micah Hyde,1,56.5
39,Matt Milano,1,56.5
41,Taylor Rapp,1,56.5
180,Jalen Thompson,1,56.5
43,Jessie Bates III,1,56.5
45,Alexander Johnson,1,56.5
175,Trae Waynes,1,56.5
140,Isaiah Oliver,0,144.0
131,Michael Brockers,0,144.0
137,Sheldon Richardson,0,144.0
133,Carlos Dunlap,0,144.0
134,Jeff Heath,0,144.0
142,Ross Cockrell,0,144.0
135,Darryl Roberts,0,144.0
139,Eric Wilson,0,144.0
132,Xavier Rhodes,0,144.0
144,Foyesade Oluokun,0,144.0
165,Shaquil Barrett,0,144.0
146,Kenny Clark,0,144.0
196,Rayshawn Jenkins,0,144.0
195,Matt Judon,0,144.0
193,Darnell Savage,0,144.0
192,Vince Williams,0,144.0
191,Marcus Williams,0,144.0
190,Tre Herndon,0,144.0
188,Lorenzo Alexander,0,144.0
186,Za'Darius Smith,0,144.0
185,Da'ron Payne,0,144.0
184,Ben Niemann,0,144.0
183,Chris Harris,0,144.0
181,Preston Smith,0,144.0
179,Marshon Lattimore,0,144.0
145,Danny Shelton,0,144.0
176,Daniel Sorensen,0,144.0
173,Tre'Davious White,0,144.0
171,Jahlani Tavai,0,144.0
169,Troy Reeder,0,144.0
166,Juan Thornhill,0,144.0
130,Matt Ioannidis,0,144.0
163,Vince Biegel,0,144.0
162,Brian Poole,0,144.0
161,Jomal Wiltz,0,144.0
157,Javon Hargrave,0,144.0
154,Damarious Randall,0,144.0
152,Janoris Jenkins,0,144.0
149,Richard Sherman,0,144.0
148,Deandre Baker,0,144.0
174,Eli Apple,0,144.0
129,Jimmie Ward,0,144.0
99,Khari Willis,0,144.0
127,Patrick Onwuasor,0,144.0
59,Kyle Fuller,0,144.0
56,Kevin Byard,0,144.0
55,Kenny Vaccaro,0,144.0
54,Adrian Amos,0,144.0
52,Ricardo Allen,0,144.0
51,Sean Lee,0,144.0
50,Anthony Hitchens,0,144.0
47,Dre Greenlaw,0,144.0
46,Justin Simmons,0,144.0
42,Roquan Smith,0,144.0
38,Tracy Walker,0,144.0
37,Jon Bostic,0,144.0
35,Terrell Edmunds,0,144.0
34,Cole Holcomb,0,144.0
32,Tahir Whitehead,0,144.0
31,Eric Weddle,0,144.0
30,Shaq Thompson,0,144.0
1,Blake Martinez,0,144.0
4,Luke Kuechly,0,144.0
7,Todd Davis,0,144.0
10,KJ Wright,0,144.0
13,Jerome Baker,0,144.0
14,Anthony Walker,0,144.0
61,Mack Wilson,0,144.0
16,Darius Leonard,0,144.0
18,Landon Collins,0,144.0
19,Tremaine Edmunds,0,144.0
20,Shawn Williams,0,144.0
21,Logan Ryan,0,144.0
22,Thomas Davis,0,144.0
24,Demario Davis,0,144.0
17,Fred Warner,0,144.0
64,Damien Wilson,0,144.0
65,Eric Rowe,0,144.0
67,Alec Ogletree,0,144.0
97,Leighton Vander Esch,0,144.0
100,Mychal Kendricks,0,144.0
105,Danny Trevathan,0,144.0
107,Grady Jarrett,0,144.0
111,Tre Boston,0,144.0
114,Denzel Perryman,0,144.0
96,Raekwon McMillan,0,144.0
115,Joey Bosa,0,144.0
117,Kevin King,0,144.0
118,Myles Jack,0,144.0
120,Marcus Maye,0,144.0
121,Joe Walker,0,144.0
125,James Bradberry,0,144.0
126,AJ Bouye,0,144.0
116,Rashaan Melvin,0,144.0
128,Shaquill Griffin,0,144.0
93,Nicholas Morrow,0,144.0
91,Davon Godchaux,0,144.0
69,Jarrod Wilson,0,144.0
72,Byron Murphy,0,144.0
76,Rodney McLeod,0,144.0
78,Nick Kwiatkoski,0,144.0
79,Levi Wallace,0,144.0
80,Germaine Pratt,0,144.0
92,Chuck Clark,0,144.0
82,Sam Hubbard,0,144.0
84,Tyrann Mathieu,0,144.0
85,Drue Tranquill,0,144.0
87,Neville Hewitt,0,144.0
88,Erik Harris,0,144.0
89,Charvarius Ward,0,144.0
90,Damontae Kazee,0,144.0
83,Jabrill Peppers,0,144.0
199,Clayton Geathers,0,144.0
