,NAME,FUMR TD,FUMR TD_rank
199,Preston Smith,1,5.0
105,Danielle Hunter,1,5.0
94,Josh Bynes,1,5.0
154,Justin Evans,1,5.0
36,Budda Baker,1,5.0
166,Linval Joseph,1,5.0
178,Justin Coleman,1,5.0
14,Jaylon Smith,1,5.0
50,Kyle Van Noy,1,5.0
189,Patrick Peterson,0,105.0
126,Jalen Ramsey,0,105.0
127,Elandon Roberts,0,105.0
128,Elijah Lee,0,105.0
129,Josh Norman,0,105.0
130,Demarcus Lawrence,0,105.0
131,Joe Haden,0,105.0
132,Shaquill Griffin,0,105.0
133,Jurrell Casey,0,105.0
134,Desmond King,0,105.0
135,JJ Watt,0,105.0
136,BJ Goodson,0,105.0
137,Bobby McCain,0,105.0
138,Jordan Evans,0,105.0
139,Duke Riley,0,105.0
140,Alex Anzalone,0,105.0
141,Jonathan Allen,0,105.0
142,Adarius Taylor,0,105.0
143,Darian Stewart,0,105.0
144,Mark Barron,0,105.0
125,Jaire Alexander,0,105.0
145,Patrick Onwuasor,0,105.0
124,Prince Amukamara,0,105.0
122,Tre Flowers,0,105.0
104,Calais Campbell,0,105.0
197,Denzel Ward,0,105.0
106,Chidobe Awuzie,0,105.0
107,Reshad Jones,0,105.0
196,PJ Williams,0,105.0
108,Eric Reid,0,105.0
109,Janoris Jenkins,0,105.0
110,Jason McCourty,0,105.0
111,James Bradberry,0,105.0
112,AJ Klein,0,105.0
113,Christian Jones,0,105.0
114,Malcolm Butler,0,105.0
115,Marquel Lee,0,105.0
116,TJ Watt,0,105.0
117,Steven Nelson,0,105.0
118,Eric Weddle,0,105.0
119,Darqueze Dennard,0,105.0
120,Byron Jones,0,105.0
121,Deforest Buckner,0,105.0
123,Desmond Trufant,0,105.0
146,Bradley Chubb,0,105.0
147,Marshon Lattimore,0,105.0
148,Dalvin Tomlinson,0,105.0
171,Briean Boddy-Calhoun,0,105.0
172,Jonathan Jones,0,105.0
173,Da'ron Payne,0,105.0
174,Rashaan Melvin,0,105.0
175,Corey Graham,0,105.0
176,Dee Ford,0,105.0
177,Gerald Hodges,0,105.0
192,Ben Gedeon,0,105.0
179,Kyle Fuller,0,105.0
180,Akiem Hicks,0,105.0
181,Eric Murray,0,105.0
182,Xavier Woods,0,105.0
183,Anthony Barr,0,105.0
184,Josh Jones,0,105.0
191,Bene' Benwikere,0,105.0
185,Kenny Clark,0,105.0
186,Tramon Williams,0,105.0
187,Michael Brockers,0,105.0
188,Tashaun Gipson,0,105.0
170,Tedric Thompson,0,105.0
169,Trey Flowers,0,105.0
168,Morris Claiborne,0,105.0
167,Mike Hilton,0,105.0
149,BW Webb,0,105.0
150,Lawrence Guy,0,105.0
103,Lorenzo Alexander,0,105.0
151,Aaron Donald,0,105.0
152,Marcus Williams,0,105.0
153,Ndamukong Suh,0,105.0
195,Nevin Lawson,0,105.0
155,Rasul Douglas,0,105.0
156,Marcus Gilchrist,0,105.0
190,Tre'Davious White,0,105.0
157,Josey Jewell,0,105.0
159,Fabian Moreau,0,105.0
160,Micah Hyde,0,105.0
161,Buster Skrine,0,105.0
162,Johnathan Joseph,0,105.0
163,Kenny Vaccaro,0,105.0
194,Rashaan Evans,0,105.0
164,Michael Thomas,0,105.0
165,Hardy Nickerson Jr,0,105.0
193,AJ Bouye,0,105.0
158,Jason Pierre-Paul,0,105.0
102,Adoree` Jackson,0,105.0
0,Darius Leonard,0,105.0
100,Jon Bostic,0,105.0
27,Zach Cunningham,0,105.0
28,Derwin James,0,105.0
29,Raekwon McMillan,0,105.0
30,Benardrick McKinney,0,105.0
31,CJ Mosley,0,105.0
32,Anthony Walker,0,105.0
33,Jamie Collins,0,105.0
34,Joe Schobert,0,105.0
35,Danny Trevathan,0,105.0
26,Myles Jack,0,105.0
37,Jordan Poyer,0,105.0
39,Malcolm Jenkins,0,105.0
40,Zach Brown,0,105.0
41,Justin Simmons,0,105.0
42,Jayon Brown,0,105.0
43,Jatavis Brown,0,105.0
44,Nigel Bradham,0,105.0
45,Landon Collins,0,105.0
46,Adrian Phillips,0,105.0
47,De'Vondre Campbell,0,105.0
38,Jarrad Davis,0,105.0
25,Eric Kendricks,0,105.0
24,Demario Davis,0,105.0
23,Shawn Williams,0,105.0
1,Blake Martinez,0,105.0
2,Leighton Vander Esch,0,105.0
3,Bobby Wagner,0,105.0
4,Anthony Hitchens,0,105.0
5,Telvin Smith,0,105.0
6,Mason Foster,0,105.0
7,Luke Kuechly,0,105.0
8,Tahir Whitehead,0,105.0
9,Cory Littleton,0,105.0
10,Kiko Alonso,0,105.0
11,Fred Warner,0,105.0
12,Roquan Smith,0,105.0
13,Avery Williamson,0,105.0
15,Tremaine Edmunds,0,105.0
16,Antoine Bethea,0,105.0
17,John Johnson,0,105.0
18,Lavonte David,0,105.0
19,Jamal Adams,0,105.0
20,Todd Davis,0,105.0
21,Wesley Woodyard,0,105.0
22,Jessie Bates III,0,105.0
48,Alec Ogletree,0,105.0
49,Ha'Sean Clinton-Dix,0,105.0
51,Foyesade Oluokun,0,105.0
52,Jordan Hicks,0,105.0
78,Thomas Davis,0,105.0
79,Terrell Edmunds,0,105.0
80,Quandre Diggs,0,105.0
81,Brad McDougald,0,105.0
82,Lamarcus Joyner,0,105.0
83,Matt Milano,0,105.0
84,Ron Parker,0,105.0
85,Kenny Moore,0,105.0
86,Jordan Whitehead,0,105.0
87,Vince Williams,0,105.0
88,Logan Ryan,0,105.0
89,Jahleel Addae,0,105.0
90,Brian Poole,0,105.0
91,Curtis Riley,0,105.0
92,Mike Adams,0,105.0
93,Eli Apple,0,105.0
95,Glover Quin,0,105.0
96,Travis Carrie,0,105.0
97,Tony Jefferson,0,105.0
98,Darron Lee,0,105.0
198,Deion Jones,0,105.0
77,Shaq Thompson,0,105.0
101,Adrian Amos,0,105.0
76,Tre Boston,0,105.0
74,Jabrill Peppers,0,105.0
53,Kevin Byard,0,105.0
54,Tyrann Mathieu,0,105.0
55,Clayton Geathers,0,105.0
56,Justin Reid,0,105.0
57,Vonn Bell,0,105.0
58,Kareem Jackson,0,105.0
59,Reggie Ragland,0,105.0
60,TJ McDonald,0,105.0
61,Jeff Heath,0,105.0
62,Harrison Smith,0,105.0
63,Damarious Randall,0,105.0
64,Patrick Chung,0,105.0
65,Nick Vigil,0,105.0
66,Devin McCourty,0,105.0
67,Kendall Fuller,0,105.0
68,Damon Harrison,0,105.0
69,Damontae Kazee,0,105.0
70,Minkah Fitzpatrick,0,105.0
71,Haason Reddick,0,105.0
72,Jerome Baker,0,105.0
73,Sean Davis,0,105.0
75,Pierre Desir,0,105.0
99,Donte Jackson,0,105.0
