,NAME,INT YDS,INT YDS_rank
23,Shawn Williams,131,1.0
56,Justin Reid,128,2.0
107,Reshad Jones,109,3.0
152,Marcus Williams,100,4.0
3,Bobby Wagner,98,5.0
114,Malcolm Butler,90,6.0
66,Devin McCourty,84,7.0
98,Darron Lee,82,8.0
129,Josh Norman,79,9.0
134,Desmond King,75,10.0
91,Curtis Riley,67,11.5
59,Reggie Ragland,67,11.5
62,Harrison Smith,66,13.0
70,Minkah Fitzpatrick,64,14.0
48,Alec Ogletree,61,15.5
198,Deion Jones,61,15.5
63,Damarious Randall,59,17.0
124,Prince Amukamara,58,18.0
2,Leighton Vander Esch,56,19.0
69,Damontae Kazee,54,20.0
117,Steven Nelson,53,21.0
179,Kyle Fuller,52,22.5
85,Kenny Moore,52,22.5
61,Jeff Heath,49,24.0
9,Cory Littleton,48,25.0
162,Johnathan Joseph,46,26.5
17,John Johnson,46,26.5
196,PJ Williams,45,28.0
175,Corey Graham,44,29.0
22,Jessie Bates III,42,30.0
83,Matt Milano,41,32.0
60,TJ McDonald,41,32.0
80,Quandre Diggs,41,32.0
108,Eric Reid,39,34.5
81,Brad McDougald,39,34.5
0,Darius Leonard,38,37.0
19,Jamal Adams,38,37.0
27,Zach Cunningham,38,37.0
190,Tre'Davious White,37,39.0
13,Avery Williamson,36,40.0
79,Terrell Edmunds,35,41.0
172,Jonathan Jones,34,42.0
84,Ron Parker,33,44.0
5,Telvin Smith,33,44.0
145,Patrick Onwuasor,33,44.0
26,Myles Jack,32,46.0
10,Kiko Alonso,30,47.5
28,Derwin James,30,47.5
109,Janoris Jenkins,29,50.0
111,James Bradberry,29,50.0
93,Eli Apple,29,50.0
73,Sean Davis,27,53.0
125,Jaire Alexander,27,53.0
101,Adrian Amos,27,53.0
164,Michael Thomas,26,55.5
197,Denzel Ward,26,55.5
72,Jerome Baker,25,58.0
39,Malcolm Jenkins,25,58.0
49,Ha'Sean Clinton-Dix,25,58.0
58,Kareem Jackson,24,60.0
42,Jayon Brown,22,61.5
12,Roquan Smith,22,61.5
191,Bene' Benwikere,21,63.0
20,Todd Davis,20,64.0
89,Jahleel Addae,19,65.5
15,Tremaine Edmunds,19,65.5
87,Vince Williams,17,67.5
168,Morris Claiborne,17,67.5
160,Micah Hyde,16,69.5
159,Fabian Moreau,16,69.5
174,Rashaan Melvin,15,72.0
97,Tony Jefferson,15,72.0
182,Xavier Woods,15,72.0
155,Rasul Douglas,14,74.0
130,Demarcus Lawrence,13,75.0
35,Danny Trevathan,12,76.0
92,Mike Adams,11,78.0
37,Jordan Poyer,11,78.0
32,Anthony Walker,11,78.0
103,Lorenzo Alexander,9,81.0
193,AJ Bouye,9,81.0
76,Tre Boston,9,81.0
132,Shaquill Griffin,8,84.5
41,Justin Simmons,8,84.5
188,Tashaun Gipson,8,84.5
136,BJ Goodson,8,84.5
102,Adoree` Jackson,7,88.0
138,Jordan Evans,7,88.0
142,Adarius Taylor,7,88.0
112,AJ Klein,6,90.0
82,Lamarcus Joyner,5,91.0
6,Mason Foster,4,92.0
143,Darian Stewart,3,94.0
199,Preston Smith,3,94.0
25,Eric Kendricks,3,94.0
90,Brian Poole,2,98.0
54,Tyrann Mathieu,2,98.0
156,Marcus Gilchrist,2,98.0
140,Alex Anzalone,2,98.0
64,Patrick Chung,2,98.0
53,Kevin Byard,1,101.5
75,Pierre Desir,1,101.5
170,Tedric Thompson,0,151.5
169,Trey Flowers,0,151.5
29,Raekwon McMillan,0,151.5
167,Mike Hilton,0,151.5
166,Linval Joseph,0,151.5
165,Hardy Nickerson Jr,0,151.5
30,Benardrick McKinney,0,151.5
94,Josh Bynes,0,151.5
31,CJ Mosley,0,151.5
171,Briean Boddy-Calhoun,0,151.5
33,Jamie Collins,0,151.5
34,Joe Schobert,0,151.5
158,Jason Pierre-Paul,0,151.5
157,Josey Jewell,0,151.5
36,Budda Baker,0,151.5
154,Justin Evans,0,151.5
153,Ndamukong Suh,0,151.5
38,Jarrad Davis,0,151.5
163,Kenny Vaccaro,0,151.5
161,Buster Skrine,0,151.5
173,Da'ron Payne,0,151.5
24,Demario Davis,0,151.5
1,Blake Martinez,0,151.5
4,Anthony Hitchens,0,151.5
195,Nevin Lawson,0,151.5
194,Rashaan Evans,0,151.5
7,Luke Kuechly,0,151.5
192,Ben Gedeon,0,151.5
8,Tahir Whitehead,0,151.5
11,Fred Warner,0,151.5
189,Patrick Peterson,0,151.5
14,Jaylon Smith,0,151.5
187,Michael Brockers,0,151.5
186,Tramon Williams,0,151.5
185,Kenny Clark,0,151.5
184,Josh Jones,0,151.5
183,Anthony Barr,0,151.5
16,Antoine Bethea,0,151.5
181,Eric Murray,0,151.5
180,Akiem Hicks,0,151.5
18,Lavonte David,0,151.5
178,Justin Coleman,0,151.5
177,Gerald Hodges,0,151.5
176,Dee Ford,0,151.5
21,Wesley Woodyard,0,151.5
151,Aaron Donald,0,151.5
150,Lawrence Guy,0,151.5
146,Bradley Chubb,0,151.5
148,Dalvin Tomlinson,0,151.5
55,Clayton Geathers,0,151.5
116,TJ Watt,0,151.5
115,Marquel Lee,0,151.5
57,Vonn Bell,0,151.5
113,Christian Jones,0,151.5
65,Nick Vigil,0,151.5
110,Jason McCourty,0,151.5
67,Kendall Fuller,0,151.5
68,Damon Harrison,0,151.5
71,Haason Reddick,0,151.5
106,Chidobe Awuzie,0,151.5
105,Danielle Hunter,0,151.5
104,Calais Campbell,0,151.5
74,Jabrill Peppers,0,151.5
77,Shaq Thompson,0,151.5
100,Jon Bostic,0,151.5
78,Thomas Davis,0,151.5
86,Jordan Whitehead,0,151.5
88,Logan Ryan,0,151.5
96,Travis Carrie,0,151.5
95,Glover Quin,0,151.5
118,Eric Weddle,0,151.5
119,Darqueze Dennard,0,151.5
120,Byron Jones,0,151.5
121,Deforest Buckner,0,151.5
147,Marshon Lattimore,0,151.5
40,Zach Brown,0,151.5
144,Mark Barron,0,151.5
43,Jatavis Brown,0,151.5
44,Nigel Bradham,0,151.5
141,Jonathan Allen,0,151.5
139,Duke Riley,0,151.5
45,Landon Collins,0,151.5
137,Bobby McCain,0,151.5
46,Adrian Phillips,0,151.5
149,BW Webb,0,151.5
135,JJ Watt,0,151.5
133,Jurrell Casey,0,151.5
50,Kyle Van Noy,0,151.5
131,Joe Haden,0,151.5
51,Foyesade Oluokun,0,151.5
52,Jordan Hicks,0,151.5
128,Elijah Lee,0,151.5
127,Elandon Roberts,0,151.5
126,Jalen Ramsey,0,151.5
123,Desmond Trufant,0,151.5
122,Tre Flowers,0,151.5
47,De'Vondre Campbell,0,151.5
99,Donte Jackson,0,151.5
